name,description,video
ACCURATE,(as in "exact or precise"),accurate.mp4
ACCURATE,(as in "correct or right"),accurate2.mp4
ACCUSE,(as in "accuse you"),accuse.mp4
ACCUSE,(as in "accuse me"),accuse2.mp4
ACCUSTOMED TO,,accustomed_to.mp4
ACE,,ace.mp4
ACE BANDAGE,,ace_bandage.mp4
ACE WRAP,,ace_wrap.mp4
ACETAMINOPHEN,,acetaminophen.mp4
ACHE,,ache.mp4
ACHIEVE,,achieve.mp4
ACHIEVEMENT,,achievement.mp4
ACHING,,aching.mp4
ACID,,acid.mp4
ACID RAIN,(as in "polluted rain"),acid_rain.mp4
ACIDIC,,acidic.mp4
ACKNOWLEDGE,,acknowledge.mp4
ACNE,,acne.mp4
ACORN,,acorn.mp4
ACQUIESCE,,acquiesce.mp4
ACQUIRE,(as in "obtain or receive"),acquire.mp4
ACQUIRE,(as in "to learn"),acquire2.mp4
ACQUIRED IMMUNE DEFICIENCY SYNDROME,,acquired_immune_deficiency_syndrome.mp4
ACRE,(as in "a unit of measure"),acre.mp4
ACROPHOBIA,,acrophobia.mp4
ACROSS,,across.mp4
ACT,(as in "to act a certain way"),act.mp4
ACT,(as in "perform or acting in a play"),act2.mp4
ACTION,,action.mp4
ACTIVE,,active.mp4
ACTIVITY,,activity.mp4
ACTOR,,actor.mp4
ACTRESS,,actress.mp4
ACTUAL,,actual.mp4
ACTUALLY,,actually.mp4
ACUPUNCTURE,,acupuncture.mp4
ACUTE,,acute.mp4
AD,,ad.mp4
AD NAUSEAM,,ad_nauseam.mp4
ADAM,(as in "the first man"),adam.mp4
ADAM,(as in "the name"),adam2.mp4
ADAM AND EVE,(as in "the first man and woman"),adam_and_eve.mp4
'ADAM''S APPLE',(as in "the body part on neck"),adam1s_apple.mp4
ADAPT,(as in "change"),adapt.mp4
ADD,(as in "math addition"),add.mp4
ADD,(as in "increase or gain"),add2.mp4
ADD,(as in "attention deficit disorder"),add3.mp4
ADD,|(as in "the math symbol for addition,_.mp4,ADD4.mp4
ADD TO,,add_to.mp4
ADD UP,,add_up.mp4
ADDICT,,addict.mp4
ADDICTED,,addicted.mp4
ADDICTION,,addiction.mp4
ADDITION,(as in "math"),addition.mp4
ADDITION,(as in "in addition or also"),addition2.mp4
ADDITION,(as in "an addition to a building"),addition3.mp4
ADDITIONAL,,additional.mp4
ADDITIONAL ACTIVITIES,,additional_activities.mp4
ADDRESS,(as in "to give a speech"),address.mp4
ADDRESS,(as in "location of something"),address2.mp4
ADELE,(as in "the name"),adele.mp4
ADEPT,,adept.mp4
ADEQUATE,,adequate.mp4
ADHD,(as in "attention deficit hyperactivity disorder"),adhd.mp4
ADHERE,,adhere.mp4
ADHESIVE,,adhesive.mp4
ADHESIVE TAPE,,adhesive_tape.mp4
ADIEU,(as in "goodbye"),adieu.mp4
ADJACENT,,adjacent.mp4
ADJECTIVE,(as in "parts of speech/grammar"),adjective.mp4
ADJUST,(as in "change"),adjust.mp4
ADMINISTER,,administer.mp4
ADMINISTRATOR,,administrator.mp4
ADMIRE,,admire.mp4
ADMISSION,(as in "to enter"),admission.mp4
ADMIT,,admit.mp4
ADMIT TO HOSPITAL,,admit_to_hospital.mp4
ADMONISH,,admonish.mp4
ADMONITION,,admonition.mp4
ADOLESCENT,,adolescent.mp4
ADOPT,(as in "to adopt children"),adopt.mp4
ADOPT,(as in "accept"),adopt2.mp4
ADOPTION,(as in "to accept an idea or thought"),adoption.mp4
ADOPTION,(as in "to adopt children"),adoption2.mp4
ADORABLE,,adorable.mp4
ADORATION,,adoration.mp4
ADORE,(as in "love"),adore.mp4
ADORN,,adorn.mp4
ADRIFT,,adrift.mp4
ADROIT,(as in "clever"),adroit.mp4
ADULT,,adult.mp4
ADULTERY,,adultery.mp4
ADULTS,,adults.mp4
ADVANCE,(as in "move to the next level"),advance.mp4
ADVANCE,(as in "move forward"),advance2.mp4
ADVANCE DIRECTIVE,,advance_directive.mp4
ADVANCED,,advanced.mp4
ADVANTAGE,(as in "take advantage"),advantage.mp4
ADVANTAGE,(as in "to profit"),advantage2.mp4
ADVENT,,advent.mp4
ADVENTURE,,adventure.mp4
ADVERB,(as in "parts of speech/grammar"),adverb.mp4
ADVERSE EFFECT,,adverse_effect.mp4
ADVERTISE,(as in "publicize or a commercial"),advertise.mp4
ADVERTISEMENT,,advertisement.mp4
ADVICE,,advice.mp4
ADVISE,,advise.mp4
ADVISOR,,advisor.mp4
ADVISORY,(as in "a warning"),advisory.mp4
ADVOCATE,(as in "the action of supporting"),advocate.mp4
ADVOCATE,(as in "a person who supports something or someone"),advocate2.mp4
AFFAIR,,affair.mp4
AFFECT,,affect.mp4
AFFECTION,,affection.mp4
AFFECTIONATE,,affectionate.mp4
AFFILIATE,,affiliate.mp4
AFFILIATION,,affiliation.mp4
AFFORD,,afford.mp4
AFFRONT,(as in "to affront someone"),affront.mp4
AFFRONT,(as in "to affront me"),affront2.mp4
AFGHANISTAN,(as in "the country"),afghanistan.mp4
AFRAID,,afraid.mp4
AFRICA,(as in "the continent"),africa.mp4
AFRICAN AMERICAN,,african_american.mp4
AFTER,,after.mp4
AFTER A WHILE,,after_a_while.mp4
AFTER SCHOOL ACTIVITIES,,after_school_activities.mp4
AFTERBIRTH,,afterbirth.mp4
AFTERCARE,,aftercare.mp4
AFTERNOON,,afternoon.mp4
AFTERNOONS,,afternoons.mp4
AFTERSHAVE,,aftershave.mp4
AFTERWARD,,afterward.mp4
AGAIN,,again.mp4
AGAIN AND AGAIN,,again_and_again.mp4
AGAINST,(as in "in opposition to"),against.mp4
AGAINST,(as in "two opposing entities"),against2.mp4
AGAPE,(as in "mouth open"),agape.mp4
AGAVE,,agave.mp4
AGE,,age.mp4
AGENCY,,agency.mp4
AGENDA,,agenda.mp4
AGGRAVATE,,aggravate.mp4
AGGRESSIVE,,aggressive.mp4
AGHAST,,aghast.mp4
AGILE,,agile.mp4
AGITATED,,agitated.mp4
AGNOSTIC,(as in "neither faith nor disbelief in God"),agnostic.mp4
AGO,(as in "in the past- a while ago or long ago"),ago.mp4
AGO,|(as in "in the more recent past- a few minutes ago,_a_short_time.mp4, or a little while ago")|,AGO2.mp4
AGONY,,agony.mp4
AGREE,,agree.mp4
AGREEABLE,(as in "cheerful or willing to agree"),agreeable.mp4
AGREEMENT,,agreement.mp4
AGRICULTURE,,agriculture.mp4
AHEAD,,ahead.mp4
AID,,aid.mp4
AIDE,,aide.mp4
AIDEN,(as in "the name"),aiden.mp4
AIDS,(as in "Acquired Immune Deficiency Syndrome"),aids.mp4
AIDS VIRUS,(as in "HIV"),aids_virus.mp4
AILMENT,,ailment.mp4
AIM,(as in "goal or objective"),aim.mp4
AIM,(as in "to aim in basketball"),aim2.mp4
AIM,(as in "to aim in American football"),aim3.mp4
AIM,(as in "to aim a rifle"),aim4.mp4
AIM,(as in "to aim a pistol or revolver"),aim5.mp4
AIMLESS,,aimless.mp4
AIR,,air.mp4
AIR CONDITIONER,,air_conditioner.mp4
AIR CONDITIONING,,air_conditioning.mp4
AIR FORCE,,air_force.mp4
AIRLINE PILOT,,airline_pilot.mp4
AIRPLANE,(as in "a jet plane or generic airplane"),airplane.mp4
AIRPLANE,(as in "a propeller or prop plane"),airplane2.mp4
AIRPLANE WING,,airplane_wing.mp4
AIRPORT,,airport.mp4
AIRSICK,,airsick.mp4
AIRSICKNESS,,airsickness.mp4
AIRWAY,,airway.mp4
AIRWAY OBSTRUCTION,,airway_obstruction.mp4
AISLE,,aisle.mp4
ALABAMA,(as in "the state"),alabama.mp4
ALARM,,alarm.mp4
ALASKA,(as in "the state"),alaska.mp4
ALBANIA,(as in "the country"),albania.mp4
ALBERTA,(as in "Canadian province"),alberta.mp4
ALCOHOL,,alcohol.mp4
ALCOHOLICS ANONYMOUS,,alcoholics_anonymous.mp4
ALERT,(as in "to warn"),alert.mp4
ALERT,(as in "to be aware"),alert2.mp4
ALERT,(as in "inform one person"),alert3.mp4
ALERT,(as in "alert multiple people"),alert4.mp4
ALERT ME,,alert_me.mp4
ALEX,(as in "the name"),alex.mp4
ALGEBRA,,algebra.mp4
ALGORITHM,,algorithm.mp4
ALI,(as in "the name"),ali.mp4
ALIEN,(as in "person from outer space"),alien.mp4
ALIGN,,align.mp4
ALIKE,,alike.mp4
ALIVE,,alive.mp4
ALL,,all.mp4
ALL,(as in "everything in a list"),all2.mp4
ALL AFTERNOON,,all_afternoon.mp4
ALL ALONG,(as in "since"),all_along.mp4
ALL DAY,,all_day.mp4
ALL DONE,(as in "finished"),all_done.mp4
ALL DONE,(as in "a response emphasizing something is done already"),all_done2.mp4
ALL EVENING,,all_evening.mp4
ALL GONE,(as in "nothing left"),all_gone.mp4
ALL GONE,(as in "sold out"),all_gone2.mp4
ALL GONE,|(as in "finished,_when_signing_with_a_chil.mp4,ALL GONE3.mp4
ALL MORNING,,all_morning.mp4
ALL RIGHT,(as in "alright"),all_right.mp4
ALL THUMBS,,all_thumbs.mp4
ALL YEAR,,all_year.mp4
ALLEGIANCE,,allegiance.mp4
ALLELUIA,,alleluia.mp4
ALLERGEN,,allergen.mp4
ALLERGIC,,allergic.mp4
ALLERGIC REACTION,,allergic_reaction.mp4
ALLERGY,,allergy.mp4
ALLIGATOR,,alligator.mp4
ALLISON,(as in "the name"),allison.mp4
ALLOW,,allow.mp4
ALLOWANCE,,allowance.mp4
ALLY,,ally.mp4
ALMIGHTY,(as in "all powerful"),almighty.mp4
ALMOND,,almond.mp4
ALMOND BUTTER,,almond_butter.mp4
ALMOND MILK,,almond_milk.mp4
ALMOST,,almost.mp4
ALMOST HAPPENED,(as in "it almost happened"),almost_happened.mp4
ALOHA,,aloha.mp4
ALONE,,alone.mp4
ALPACA,,alpaca.mp4
ALPHA,(as in "first"),alpha.mp4
ALPHA,(as in "superior"),alpha2.mp4
ALPHABET,,alphabet.mp4
ALREADY,,already.mp4
ALREADY,(as in "a response emphasizing something is done already"),already2.mp4
ALSO,(as in "too or similar"),also.mp4
ALTAR,,altar.mp4
ALTER,(as in "change"),alter.mp4
ALTERNATE,(as in "to take turns"),alternate.mp4
ALTERNATE,(as in "backup"),alternate2.mp4
ALTERNATIVE,,alternative.mp4
ALTERNATIVE MEDICINE,,alternative_medicine.mp4
ALTERNATIVES,,alternatives.mp4
ALTHOUGH,,although.mp4
ALWAYS,,always.mp4
'ALZHEIMER''S DISEASE',,alzheimer1s_disease.mp4
AM,(as in "ante meridiem"),am.mp4
AMANDA,(as in "the name"),amanda.mp4
AMASS,(as in "accumulate"),amass.mp4
AMAZE,,amaze.mp4
AMAZEMENT,,amazement.mp4
AMAZING,,amazing.mp4
AMAZON,,amazon.mp4
AMBASSADOR,,ambassador.mp4
AMBER,(as in "the name"),amber.mp4
AMBIGUOUS,(as in "unclear or inexact "),ambiguous.mp4
AMBITIOUS,,ambitious.mp4
AMBULANCE,,ambulance.mp4
AMBULATORY,,ambulatory.mp4
AMELIORATE,(as in "improve"),ameliorate.mp4
AMELIORATE,(as in "big improvement"),ameliorate2.mp4
AMELIORATE,(as in "little or incremental improvement"),ameliorate3.mp4
AMEN,,amen.mp4
AMERICA,(as in "the United States"),america.mp4
AMERICAN,(as in "origin from America"),american.mp4
AMERICAN EXPRESS,(as in "the type of credit card"),american_express.mp4
AMERICAN INDIAN,,american_indian.mp4
AMIABLE,,amiable.mp4
AMID,,amid.mp4
AMIDST,,amidst.mp4
AMISH,,amish.mp4
AMMUNITION,,ammunition.mp4
AMNIOCENTESIS,,amniocentesis.mp4
AMNIOTIC SAC,,amniotic_sac.mp4
AMONG,,among.mp4
AMOUNT,(as in "heap"),amount.mp4
AMOUNT,(as in "total"),amount2.mp4
AMPERSAND,,ampersand.mp4
AMPHETAMINE,,amphetamine.mp4
AMPHETAMINES,,amphetamines.mp4
AMPLE,,ample.mp4
AMPUTATE,,amputate.mp4
AMUSE,,amuse.mp4
AMUSEMENT PARK,,amusement_park.mp4
AMY,(as in "the name"),amy.mp4
AN,(as in "the indefinite article"),an.mp4
ANACONDA,,anaconda.mp4
ANALYST,,analyst.mp4
ANALYZE,(as in "to analyze something."),analyze.mp4
ANALYZE,(as in "self-analyze"),analyze2.mp4
ANATOMY,,anatomy.mp4
ANCESTOR,,ancestor.mp4
ANCHOR,,anchor.mp4
ANCIENT,,ancient.mp4
AND,,and.mp4
ANDORRA,(as in "the country"),andorra.mp4
ANDREW,(as in "the name"),andrew.mp4
ANEMIA,,anemia.mp4
ANESTHESIA,,anesthesia.mp4
ANGEL,,angel.mp4
ANGER,(as in "mad"),anger.mp4
ANGLE,,angle.mp4
ANGRY,(as in "mad"),angry.mp4
ANGUILLA,(as in "the British territory"),anguilla.mp4
ANIMAL,,animal.mp4
ANKLE,,ankle.mp4
ANN,(as in "the name"),ann.mp4
ANN ARBOR,(as in "the city in Michigan"),ann_arbor.mp4
ANNA,(as in "the name"),anna.mp4
ANNEX,,annex.mp4
ANNIVERSARY,,anniversary.mp4
ANNOUNCE,,announce.mp4
ANNOUNCEMENT,,announcement.mp4
ANNOUNCEMENT,,announcement2.mp4
ANNOUNCER,,announcer.mp4
ANNOY,(as in "irritate"),annoy.mp4
ANNOY,(as in "aggravate"),annoy2.mp4
ANNUAL,,annual.mp4
ANNUL,,annul.mp4
ANNULMENT,,annulment.mp4
ANNUNCIATION,,annunciation.mp4
ANOINT,,anoint.mp4
ANOTHER,,another.mp4
ANSWER,,answer.mp4
ANT,,ant.mp4
ANTAGONISM,,antagonism.mp4
ANTAGONIZE,,antagonize.mp4
ANTARCTICA,,antarctica.mp4
ANTEATER,,anteater.mp4
ANTHEM,,anthem.mp4
ANTI,(as in "against"),anti.mp4
ANTIGUA,(as in "the island in the Caribbean Sea"),antigua.mp4
ANTIGUA AND BARBUDA,(as in "the country in the Caribbean"),antigua_and_barbuda.mp4
ANTIQUE,,antique.mp4
ANTLERS,,antlers.mp4
ANTS IN YOUR PANTS,,ants_in_your_pants.mp4
ANXIETY,,anxiety.mp4
ANXIOUS,,anxious.mp4
ANY,,any.mp4
ANYBODY,,anybody.mp4
ANYONE,,anyone.mp4
ANYTHING,,anything.mp4
ANYWAY,,anyway.mp4
ANYWHERE,,anywhere.mp4
APART,,apart.mp4
APARTMENT,,apartment.mp4
APATHY,,apathy.mp4
APE,(as in "a type of primate"),ape.mp4
APEX,(as in "top"),apex.mp4
APOLOGIZE,,apologize.mp4
APOLOGY,,apology.mp4
APOSTASY,,apostasy.mp4
APOSTLE,,apostle.mp4
APOSTOLIC,,apostolic.mp4
APOSTROPHE,(as in "the punctuation mark"),apostrophe.mp4
APP,(as in "a software application"),app.mp4
APPALL,(as in "to appall"),appall.mp4
APPARENT,,apparent.mp4
APPEAL,,appeal.mp4
APPEAR,(as in "to seem"),appear.mp4
APPEAR,(as in "to show up"),appear2.mp4
APPEAR BEFORE,,appear_before.mp4
APPEARANCE,(as in "looks"),appearance.mp4
APPEARANCE,(as in "to show up"),appearance2.mp4
APPEASE,,appease.mp4
APPETITE,,appetite.mp4
APPLAUD,,applaud.mp4
APPLAUD,(as in "deaf applause"),applaud2.mp4
APPLAUSE,(as in "deaf applause"),applause.mp4
APPLE,,apple.mp4
APPLE JUICE,,apple_juice.mp4
APPLY,(as in "pertains to"),apply.mp4
APPLY,(as in "to apply for something"),apply2.mp4
APPOINT,,appoint.mp4
APPOINTMENT,,appointment.mp4
APPRECIATE,,appreciate.mp4
APPRECIATION,,appreciation.mp4
APPREHEND,(as in "to capture"),apprehend.mp4
APPROACH,(as in "to approach a person"),approach.mp4
APPROACH,(as in "to approach a location"),approach2.mp4
APPROPRIATE,,appropriate.mp4
APPROVAL,(as in "accept"),approval.mp4
APPROVAL,(as in "stamp of approval"),approval2.mp4
APPROVE,(as in "accept"),approve.mp4
APPROXIMATE,,approximate.mp4
APPROXIMATELY,(as in "close to location"),approximately.mp4
APPROXIMATELY,(as in "close to time"),approximately2.mp4
APRICOT,,apricot.mp4
APRIL,(as in "the month"),april.mp4
APRIL,(as in "the name"),april2.mp4
'APRIL FOOLS'' DAY',,april_fools1_day.mp4
APRON,,apron.mp4
AQUARIUM,,aquarium.mp4
ARCHBISHOP,,archbishop.mp4
ARCHDIOCESE,(as in "area an archbishop is responsible for"),archdiocese.mp4
ARCHERY,,archery.mp4
ARCHITECT,,architect.mp4
ARCHITECTURE,,architecture.mp4
ARCTIC,,arctic.mp4
ARDENT,,ardent.mp4
ARE,,are.mp4
AREA,(as in "a physical area or place"),area.mp4
AREA,(as in "a field or major"),area2.mp4
ARGENTINA,(as in "the country"),argentina.mp4
ARGUE,,argue.mp4
ARGUMENT,,argument.mp4
ARI,(as in "the name"),ari.mp4
ARID,,arid.mp4
ARID,(as in "very arid or really arid"),arid2.mp4
ARISE,(as in "appear"),arise.mp4
ARISE,(as in "get up"),arise2.mp4
ARISTOCRACY,,aristocracy.mp4
ARITHMETIC,,arithmetic.mp4
ARIZONA,(as in "the state"),arizona.mp4
ARKANSAS,(as in "the state"),arkansas.mp4
ARM,(as in "part of the body"),arm.mp4
ARMADILLO,,armadillo.mp4
ARMED FORCES,,armed_forces.mp4
ARMENIA,(as in "the country"),armenia.mp4
ARMPIT,(as in "a part of the body."),armpit.mp4
ARMS,(as in "weapons"),arms.mp4
ARMS,(as in "part of the body"),arms2.mp4
ARMY,,army.mp4
AROUND,(as in "nearby location"),around.mp4
AROUND,(as in "about time"),around2.mp4
AROUSE,(as in "to wake up from sleep"),arouse.mp4
AROUSE,(as in "to excite or stimulate"),arouse2.mp4
ARRANGE,,arrange.mp4
ARREST,,arrest.mp4
ARRIVAL,,arrival.mp4
ARRIVE,,arrive.mp4
ARROGANT,,arrogant.mp4
ARROW,,arrow.mp4
ART,,art.mp4
ARTHRITIS,,arthritis.mp4
ARTICLE,,article.mp4
ARTIFICIAL,,artificial.mp4
ARTIST,,artist.mp4
ARUBA,(as in "the country"),aruba.mp4
AS,,as.mp4
AS WELL,,as_well.mp4
ASCEND,(as in "to climb up something"),ascend.mp4
ASCEND,(as in "to go up stairs"),ascend2.mp4
ASCEND,(as in "an airplane ascending"),ascend3.mp4
ASCENSION,,ascension.mp4
ASH WEDNESDAY,,ash_wednesday.mp4
ASHAMED,,ashamed.mp4
ASIA,,asia.mp4
ASIAN,,asian.mp4
ASIDE,,aside.mp4
ASK,(as in "to inquire or ask a question"),ask.mp4
ASK,(as in "to request or ask a favor; to ask permission"),ask2.mp4
ASK,(as in "to inquire or ask a question to me"),ask3.mp4
ASK,(as in "to inquire or ask a question to someone"),ask4.mp4
ASKEW,,askew.mp4
ASL,(as in "American Sign Language"),asl.mp4
ASLEEP,,asleep.mp4
ASPARAGUS,,asparagus.mp4
ASPERGILLUM,,aspergillum.mp4
ASPIRIN,,aspirin.mp4
ASS,(as in "donkey"),ass.mp4
ASS,(as in "butt"),ass2.mp4
ASSASSIN,,assassin.mp4
ASSEMBLE,(as in "coming or putting together"),assemble.mp4
ASSEMBLIES OF GOD,,assemblies_of_god.mp4
ASSEMBLY,,assembly.mp4
ASSEMBLY OF GOD,(as in "the religion"),assembly_of_god.mp4
ASSERTIVE,,assertive.mp4
ASSERTIVE,,assertive2.mp4
ASSESS,,assess.mp4
ASSIGN,,assign.mp4
ASSIGNMENT,,assignment.mp4
ASSIMILATE,,assimilate.mp4
ASSIST,,assist.mp4
ASSISTANT,,assistant.mp4
ASSOCIATE,,associate.mp4
ASSOCIATES DEGREE,,associates_degree.mp4
ASSOCIATION,,association.mp4
ASSUME,|(as in "to make an assumption,_to_guess_or_estimat.mp4,ASSUME.mp4
ASSUME,(as in "to accept or take something on"),assume2.mp4
ASSUMPTION,(as in "assumption into heaven"),assumption.mp4
ASSURANCE,,assurance.mp4
ASSURE,,assure.mp4
ASTHMA,,asthma.mp4
ASTONISH,,astonish.mp4
ASTONISHMENT,,astonishment.mp4
ASTOUND,,astound.mp4
ASTRAY,,astray.mp4
ASYLUM,,asylum.mp4
AT,,at.mp4
AT,(as in "the at sign or @"),at2.mp4
AT FAULT,,at_fault.mp4
AT LAST,,at_last.mp4
AT ODDS,,at_odds.mp4
AT ONCE,(as in "right now"),at_once.mp4
ATHEISM,,atheism.mp4
ATHEIST,(as in "not believing in God"),atheist.mp4
ATHENA,(as in "a plus size female athlete"),athena.mp4
ATHLETE,,athlete.mp4
ATHLETIC,,athletic.mp4
ATLANTA,(as in "the capital city of Georgia"),atlanta.mp4
ATMOSPHERE,(as in "gas around the planet"),atmosphere.mp4
ATMOSPHERE,(as in "the mood or feeling"),atmosphere2.mp4
ATONE,(as in "make amends"),atone.mp4
ATONEMENT,,atonement.mp4
ATTACH,,attach.mp4
ATTACK,(as in "an offensive action"),attack.mp4
ATTAIN,,attain.mp4
ATTEMPT,,attempt.mp4
ATTEND,(as in "to gather"),attend.mp4
ATTEND,,attend2.mp4
ATTEND,(as in "attend frequently"),attend3.mp4
ATTENDANCE,,attendance.mp4
ATTENTION,,attention.mp4
ATTENTION DEFICIT DISORDER,(as in "A.D.D."),attention_deficit_disorder.mp4
ATTENTION DEFICIT HYPERACTIVITY DISORDER,(as in "ADHD"),attention_deficit_hyperactivity_disorder.mp4
ATTENTION SEEKING,,attention_seeking.mp4
ATTIC,,attic.mp4
ATTITUDE,,attitude.mp4
ATTORNEY,,attorney.mp4
ATTRACT,(as in "drawn to"),attract.mp4
ATTRACT,(as in "attracted to"),attract2.mp4
ATTRACTED,,attracted.mp4
ATTRACTION,,attraction.mp4
ATTRACTIVE,(as in "fascinating"),attractive.mp4
ATTRACTIVE,(as in "beautiful"),attractive2.mp4
AUCTION,,auction.mp4
AUDIENCE,(as in "viewing audience"),audience.mp4
AUDIENCE,(as in "part of the audience"),audience2.mp4
AUDIOLOGIST,,audiologist.mp4
AUDIOLOGY,,audiology.mp4
AUGUST,(as in "the month"),august.mp4
AUNT,,aunt.mp4
AUNT AND UNCLE,,aunt_and_uncle.mp4
AUNTIE,,auntie.mp4
AUSTRALIA,,australia.mp4
AUSTRIA,,austria.mp4
AUTHENTIC,,authentic.mp4
AUTHOR,,author.mp4
AUTHORITY,,authority.mp4
AUTISM,,autism.mp4
AUTO MECHANIC,,auto_mechanic.mp4
AUTOMATIC,,automatic.mp4
AUTOMOBILE,,automobile.mp4
AUTUMN,,autumn.mp4
AUXILIARY,,auxiliary.mp4
AVA,(as in "the name"),ava.mp4
AVAILABLE,,available.mp4
AVENUE,(as in "a road or address"),avenue.mp4
AVERAGE,,average.mp4
AVOCADO,,avocado.mp4
AVOID,(as in "to evade"),avoid.mp4
AVOID,(as in "avoid a lot"),avoid2.mp4
AWAKE,,awake.mp4
AWARD,(as in "a prize or reward"),award.mp4
AWARD,(as in "to give a prize or reward"),award2.mp4
AWARE,,aware.mp4
AWARENESS,,awareness.mp4
AWAY,,away.mp4
AWE,,awe.mp4
AWESOME,|(as in "fantastic,_wonderfu.mp4,AWESOME.mp4
AWESOME,|(as in "something is cool or neat,_with_awe_or_surpris.mp4,AWESOME2.mp4
AWFUL,,awful.mp4
AWFUL DAY,,awful_day.mp4
AWKWARD,,awkward.mp4
AWRY,,awry.mp4
AXE TO GRIND,,axe_to_grind.mp4
AZERBAIJAN,(as in "the country"),azerbaijan.mp4
B,(as in "the letter B"),b.mp4
BA,(as in "a type of undergraduate degree"),ba.mp4
BAA,(as in "the sound a sheep makes"),baa.mp4
BABBLE,,babble.mp4
BABOON,,baboon.mp4
BABY,,baby.mp4
BABY BIB,,baby_bib.mp4
BABYSIT,,babysit.mp4
BABYSITTER,,babysitter.mp4
BACHELOR,,bachelor.mp4
BACHELOR OF ARTS,(as in "a type of undergraduate degree"),bachelor_of_arts.mp4
BACHELOR OF SCIENCE,(as in "a type of undergraduate degree"),bachelor_of_science.mp4
'BACHELOR''S',(as in "an undergraduate degree"),bachelor1s.mp4
'BACHELOR''S DEGREE',(as in "an undergraduate degree"),bachelor1s_degree.mp4
BACHELORETTE,,bachelorette.mp4
BACK,(as in "give me back"),back.mp4
BACK,|(as in "the body part-the back,_or_a_place/position2back_side_or_rea.mp4,BACK2.mp4
BACK,(as in "give you back"),back3.mp4
BACK,(as in "back together"),back4.mp4
BACK AND FORTH,,back_and_forth.mp4
BACK OUT,,back_out.mp4
BACKBONE,,backbone.mp4
BACKGROUND,(as in "experience"),background.mp4
